11X5.5
21.44	2187.8 	0.43	25	13.01	5822
21.79	2223.5 	0.44	25	13.48	5903
22.99	2345.9 	0.47	25	14.44	6025
23.5	2398.0 	0.47	25	15	6127
25.82	2634.7 	0.51	25	16.49	6318
26.43	2696.9 	0.52	25	17.28	6416
27.53	2809.2 	0.55	25	18.32	6514
28.49	2907.1 	0.57	25	19.26	6615

15X5.5
7.52 	767.5 	0.14	30	2.28	3518
7.87 	803.3 	0.14	30	2.39	3615
8.51 	868.3 	0.15	30	2.67	3711
8.96 	914.3 	0.16	30	2.9	3829
9.49 	968.0 	0.17	30	3.1	3917
9.98 	1018.5 	0.18	30	3.29	4013
10.20 	1040.9 	0.19	30	3.43	4117
11.12 	1135.0 	0.2	30	3.75	4217
11.62 	1185.4 	0.2	30	3.99	4316
12.25 	1250.4 	0.22	30	4.3	4423
12.80 	1306.4 	0.22	30	4.56	4517
13.69 	1397.1 	0.25	30	4.85	4618
14.21 	1449.8 	0.27	30	5.15	4718
14.88 	1518.2 	0.24	30	5.45	4822
15.46 	1577.5 	0.27	30	5.77	4923
16.06 	1639.2 	0.28	30	6.09	5020
16.72 	1706.4 	0.27	30	6.43	5119
17.28 	1763.5 	0.31	30	6.79	5217
18.06 	1843.1 	0.33	30	7.16	5314
18.82 	1920.4 	0.3	30	7.57	5410
19.32 	1971.9 	0.35	30	7.84	5514
19.73 	2013.4 	0.35	30	8.3	5624
20.76 	2118.7 	0.37	30	8.82	5721
21.74 	2218.4 	0.38	30	9.36	5816
22.39 	2284.5 	0.39	30	9.74	5901
23.23 	2370.8 	0.39	30	10.22	6029

16X6
5.37	548.0 	0.13	25	1.85	2641
6.18	630.6 	0.14	25	2.22	2817
7.04	718.4 	0.14	25	2.53	3017
8.22	838.8 	0.19	25	3.12	3210
10.51	1072.4 	0.23	25	4.43	3615
10.86	1108.2 	0.23	25	5.08	3805
12.44	1269.4 	0.25	25	6.03	4011
13.35	1362.2 	0.3	25	6.98	4213
14.94	1524.5 	0.32	25	8.16	4420
16.44	1677.6 	0.36	25	9.29	4622
17.66	1802.0 	0.37	25	10.44	4818
19.66	2006.1 	0.41	25	12.2	5012
21.49	2192.9 	0.45	25	14.18	5214
23.13	2360.2 	0.45	25	16.01	5420
24.91	2541.8 	0.53	25	18.17	5613
26.66	2720.4 	0.57	25	20.77	5811
28.46	2904.1 	0.61	25	23.17	6020
31.83	3248.0 	0.73	25	31.64	6441

17X6
8.15	831.6 	0.18	25	3.09	2811
9.53	972.4 	0.22	25	3.88	3012
10.96	1118.4 	0.23	25	4.74	3213
14.07	1435.7 	0.31	25	6.98	3616
15.56	1587.8 	0.34	25	8.37	3811
17.48	1783.7 	0.38	25	9.69	4012
19.09	1948.0 	0.42	25	11.42	4212
21.29	2172.4 	0.46	25	13.37	4413
22.95	2341.8 	0.52	25	15.34	4615
25.29	2580.6 	0.57	25	18.21	4819
27.1	2765.3 	0.6	25	21.14	5019
29.66	3026.5 	0.64	25	24.87	5215
32.12	3277.6 	0.72	25	28.9	5415
34.65	3535.7 	0.75	25	33.89	5618

18X6.5
0 533.7 	0.12	22.2	1.69	2002
0 669.4 	0.15	22.2	2.28	2226
0 793.9 	0.19	22.2	2.95	2443
0 909.2 	0.21	22.2	3.49	2610
0 927.6 	0.21	22.2	3.52	2607
0 1086.7 	0.25	22.2	4.43	2818
0 1283.7 	0.28	22.2	5.49	3028
0 1449.0 	0.32	22.2	6.65	3235
0 1628.6 	0.36	22.2	7.91	3430
0 1817.4 	0.4	22.2	9.46	3620
0 2022.5 	0.44	22.2	11.08	3808
0 2268.4 	0.5	22.2	13.32	4028
0 2482.7 	0.55	22.2	15.22	4215
0 2758.2 	0.62	22.2	18.06	4415
0 2996.9 	0.68	22.2	20.67	4611
0 3087.8 	0.68	22.2	21.72	4694
0 3211.2 	0.71	22.2	23.21	4759

20X6
9.84	1004.1 	0.22	44.4	2.08	2625
11.5	1173.5 	0.25	44.4	2.49	2828
13.11	1337.8 	0.29	44.4	2.94	3000
14.71	1501.0 	0.32	44.4	3.44	3210
16.44	1677.6 	0.37	44.4	4.03	3420
18.32	1869.4 	0.39	44.4	4.65	3600
20.74	2116.3 	0.46	44.4	5.48	3810
23.16	2363.3 	0.52	44.4	6.34	4020
24.8	2530.6 	0.56	44.4	7.06	4210
28.51	2909.2 	0.62	44.4	8.38	4400
30.82	3144.9 	0.7	44.4	9.42	4630
33.24	3391.8 	0.75	44.4	10.53	4800
33.95	3464.3 	0.76	44.4	10.91	4860

21X6
9.78	998.0 	0.24	44.4	1.87	2457
11.13	1135.7 	0.28	44.4	2.23	2621
12.84	1310.2 	0.31	44.4	2.7	2808
15.08	1538.8 	0.38	44.4	3.3	3028
17.02	1736.7 	0.42	44.4	3.9	3212
19.24	1963.3 	0.46	44.4	4.6	3429
21.54	2198.0 	0.55	44.4	5.4	3615
23.94	2442.9 	0.59	44.4	6.2	3806
27.24	2779.6 	0.65	44.4	7.5	4049
29.56	3016.3 	0.7	44.4	8.3	4214
32.26	3291.8 	0.78	44.4	9.5	4432
35.82	3655.1 	0.85	44.4	11	4600
39.38	4018.4 	0.94	44.4	12.6	4800
42.45	4331.6 	1.01	44.4	14.1	5000
45.84	4677.6 	1.09	44.4	15.9	5200
49.43	5043.9 	1.2	44.4	17.8	5400
51.71	5276.5 	1.26	44.4	18.9	5500
54.14	5524.5 	1.3	44.4	20.3	5600
56.15	5729.6 	1.33	44.4	21.4	5700

21X12
11.37	1160.2 	0.35	50	2.97	2009
14.37	1466.3 	0.44	50	3.93	2233
17	1734.7 	0.55	50	4.86	2458
18.84	1922.4 	0.58	50	5.33	2552
20.06	2046.9 	0.66	50	5.79	2641
21.36	2179.6 	0.68	50	6.28	2739
22.97	2343.9 	0.72	50	6.71	2808
25	2551.0 	0.79	50	7.62	2966
30.8	3142.9 	0.99	50	10.22	3240
33.66	3434.7 	1.04	50	11.16	3420
34	3469.4 	1.07	50	11.16	3630
43.39	4427.6 	1.32	50	15.06	3820
47.56	4853.1 	1.47	50	17.18	4020
53.35	5443.9 	1.6	50	19.65	4230
58.18	5936.7 	1.75	50	22.22	4420
63.54	6483.7 	1.99	50	25.06	4630
69.83	7125.5 	2.15	50	28.37	4844
76.77	7833.7 	2.37	50	32.42	5055
83.43	8513.3 	2.57	50	36.33	5272

22X8
10.06	1026.5 	0.24	44.4	1.82	2004
12.07	1231.6 	0.28	44.4	2.3	2228
14.5	1479.6 	0.34	44.4	2.98	2422
15.56	1587.8 	0.38	44.4	3.25	2515
19.43	1982.7 	0.44	44.4	4.45	2810
22.31	2276.5 	0.56	44.4	5.4	3002
25.7	2622.4 	0.63	44.4	6.52	3213
28.72	2930.6 	0.74	44.4	7.71	3402
32.3	3295.9 	0.81	44.4	9.21	3602
36.3	3704.1 	0.93	44.4	11.05	3842
40.11	4092.9 	1.05	44.4	12.79	4013
44.19	4509.2 	1.11	44.4	14.84	4213
48.99	4999.0 	1.26	44.4	17.43	4400
53.91	5501.0 	1.44	44.4	19.7	4600
58.61	5980.6 	1.55	44.4	22.78	4800
64.85	6617.3 	1.75	44.4	26.67	5000
66.4	6775.5 	1.8	44.4	27.85	5100
68.92	7032.7 	1.86	44.4	29.61	5200
71.48	7293.9 	1.97	44.4	31.31	5300

24X9
1.00 	102.04 	1.00 	1.00 	1.00 	1.00
19.27	1966.3 	0.55	44.4	4.13	2412
23.1	2357.1 	0.67	44.4	5.36	2629
26.8	2734.7 	0.75	44.4	6.61	2831
29.97	3058.2 	0.86	44.4	7.83	3000
34.55	3525.5 	0.98	44.4	9.56	3210
38.54	3932.7 	1.1	44.4	11.39	3420
44.48	4538.8 	1.26	44.4	14	3600
50.08	5110.2 	1.48	44.4	16.98	3820
55.07	5619.4 	1.58	44.4	19.58	4000
60.44	6167.3 	1.71	44.4	22.4	4140

27X8.8
22.32	2277.6 	0.73	44.4	5.57	2002
27.35	2790.8 	0.89	44.4	7.12	2210
30.43	3105.1 	0.97	44.4	8.29	2321
33.27	3394.9 	1.18	44.4	9.29	2421
39.85	4066.3 	1.27	44.4	11.54	2617
46.13	4707.1 	1.49	44.4	13.93	2814
52.92	5400.0 	1.69	44.4	16.67	3000
60.04	6126.5 	1.99	44.4	19.86	3200
68.63	7003.1 	2.15	44.4	23.66	3408
77.35	7892.9 	2.4	44.4	27.68	3602
87.74	8953.1 	2.83	44.4	32.77	3831
97.82	9981.6 	3.22	44.4	38.36	4021

27.5X11
28.3	2887.8 	0.99	44.4	7.13	2003
34.63	3533.7 	1.2	44.4	9.43	2217
40.79	4162.2 	1.4	44.4	11.7	2407
48.41	4939.8 	1.65	44.4	14.45	2606
56.47	5762.2 	1.93	44.4	17.62	2814
64.44	6575.5 	2.16	44.4	20.87	3023
75.02	7655.1 	2.53	44.4	25.6	3236
84.19	8590.8 	2.89	44.4	30.28	3429
96.54	9851.0 	3.22	44.4	36.16	3647
105.24	10738.8 	3.54	44.4	41.73	3828
118.87	12129.6 	3.85	44.4	49.57	4040

28X8
32.23	3288.8 	1.08	44.4	7.39	2220
39.25	4005.1 	1.33	44.4	9.78	2404
46.69	4764.3 	1.55	44.4	12.53	2613
54.26	5536.7 	1.78	44.4	15.7	2815
63.93	6523.5 	2.09	44.4	20.14	3030
72.67	7415.3 	2.41	44.4	24.52	3210
76.2	7775.5 	2.54	44.4	26.79	3420

29X9.5
32.72	3338.78 	1.12	44.4	7.4	2026
37.86	3863.27 	1.33	44.4	9.1	2180
46.93	4788.78 	1.57	44.4	12	2414
53.9	5500.00 	1.81	44.4	14.6	2598
63.59	6488.78 	2.17	44.4	18.1	2790
72.84	7432.65 	2.48	44.4	21.8	3000
81.4	8306.12 	2.81	44.4	26.1	3200
88.74	9055.10 	3	44.4	30.2	3300
107.66	10985.71 	3.5	44.4	38.5	3490

30X10
19.02	1940.80 	0.72	50	3	1514
25.17	2568.40 	0.85	50	4.3	1733
30.82	3144.90 	1.07	50	5.6	1920
38	3877.60 	1.31	50	7.5	2133
45.39	4631.60 	1.59	50	9.5	2323
53.52	5461.20 	1.85	50	11.8	2518
63.65	6494.90 	2.24	50	15.1	2746
71.94	7340.80 	2.53	50	17.9	2907
83.06	8475.50 	2.86	50	22.3	3130
88.15	8994.90 	3	50	24.1	3215
92.95	9484.70 	3.19	50	26.2	3302
100.34	10238.80 	3.45	50	29.3	3431
107	10918.40 	3.65	50	31.9	3515
113.51	11582.70 	3.82	50	34.7	3615
120.85	12331.60 	4.06	50	38.1	3720

32X12
26.03	2656.12 	1.01	50	4.05	1525
28.57	2915.31 	1.04	50	4.6	1605
32.05	3270.41 	1.2	50	5.49	1705
36.78	3753.06 	1.36	50	6.5	1807
41.13	4196.94 	1.52	50	7.59	1910
44.88	4579.59 	1.54	50	8.66	2005
50.86	5189.80 	1.87	50	10.32	2113
55.62	5675.51 	2.06	50	11.81	2203
61.87	6313.27 	2.3	50	13.78	2323
65.32	6665.31 	2.41	50	15.2	2413
72.53	7401.02 	2.69	50	17.63	2525
78.74	8034.69 	2.92	50	19.74	2610
84.17	8588.78 	3.12	50	21.99	2720
88.21	9001.02 	3.26	50	24.05	2795

34X14
0 5000	2.18	59	11.5	1770
0 6100	2.6	59	14.7	1980
0 7000	2.98	59	18	2100
0 8000	3.34	59	21	2250
0 9000	3.9	59	25.5	2400
0 10000	4.5	59	28	2490
0 11000	4.7	59	32.5	2610
0 12000	5.03	59	36	2700
0 13000	5.5	59	41	2850
0 14000	6.02	59	45.2	2940
0 15000	6.15	59	50	3030
0 16000	6.9	59	57	3150
0 17000	7.2	59	61.5	3210
0 18000	7.9	59	67	3300

TMOTOR: Power RPM Torque Thrust
G27X8.8CF
148.8 1919 0.67 1976
163.2 1972 0.71 2130
196.8 2108 0.82 2430
211.2 2154 0.85 2504
230.4 2221 0.89 2660
259.2 2302 0.97 2894
283.2 2381 1.02 3090
312.0 2439 1.08 3281
331.2 2505 1.11 3439
355.2 2573 1.15 3593
379.2 2635 1.19 3774
422.4 2720 1.29 4026
446.4 2773 1.32 4220
470.4 2823 1.35 4365
504.0 2874 1.41 4532
528.0 2938 1.43 4673
609.6 3064 1.55 5129
710.4 3214 1.70 5635
921.6 3494 1.97 6715
1248 3777 2.42 8164

G28X9.2CF
86.4 1584 0.45 1465
96 1631 0.48 1572
110.4 1692 0.53 1717
124.8 1748 0.58 1852
139.2 1810 0.6 1997
153.6 1872 0.66 2140
163.2 1928 0.68 2256
177.6 1988 0.71 2378
196.8 2047 0.77 2528
220.8 2124 0.84 2757
244.8 2190 0.90 2957
254.4 2232 0.91 3027
273.6 2287 0.95 3171
297.6 2349 1 3307
316.8 2384 1.04 3448
340.8 2439 1.08 3662
393.6 2570 1.17 4043
456 2680 1.28 4468
585.6 2971 1.47 5248
792 3200 1.80 6352

G29X9.5CF
100.8 1547 0.53 1696
115.2 1607 0.59 1829
129.6 1654 0.63 1959
144 1720 .68 2119
153.6 1767 0.69 2248
177.6 1837 0.75 2412
192 1906 0.81 2610
211.2 1658 0.86 2759
225.6 2001 0.89 2885
264 2100 1.01 3193
278.4 2139 1.03 3285
297.6 2184 1.07 3429
312 2236 1.09 3561
340.8 2285 1.15 3740
369.6 2332 1.28 3953
393.6 2394 1.26 4094
456 2506 1.39 4517
528 2626 1.49 4961
672 2858 1.69 5875
916.8 3104 2.09 7130

P22X6.6CF
158.4 2925 0.46 1702
177.6 3017 0.50 1839
192 3134 0.52 1987
211.2 3234 0.55 2121
230.4 3340 0.57 2267
249.6 3431 0.60 2376
268.8 3531 0.62 2511
302.4 3659 0.69 2717
326.4 3765 0.71 2879
345.6 3840 0.73 3022
379.2 3984 0.78 3218
412.8 4074 0.82 3397
441.6 4188 0.85 3538
470.4 4275 0.88 3696
494.4 4333 0.90 3826
518.4 4427 0.92 3967
614.4 4686 1.02 4439
691.2 4886 1.08 4879
940.8 5383 1.32 5921
1272 5924 1.62 7243

KDE: Power Thrust RPM Torque
KDE-CF275-DP
23 420 920 0.15
54 840 1320 0.3
101 1390 1680 0.5
174 2120 2140 0.7
274 2970 2480 1.0
407 4060 2820 1.25
541 5250 3120 1.45

KDE-CF305-DP
161 2220 1660 0.71
381 4100 2220 1.25
783 6770 2880 2.02
